0 4.919 0.008077383 4.81 0.009462151
1 3.175 0.181990427 1.225 0.187998008
2 0.727 0.426106901 0.7372 0.212290837
3 0.71 0.427802154 0.6984 0.214223108
4 0.729 0.425907459 0.6831 0.21498506
5 0.771 0.421719186 0.6874 0.214770916
6 0.817 0.41713203 0.6971 0.214287849
7 1.652 0.333865178 0.7156 0.213366534
8 2.563 0.243019545 0.735 0.212400398
9 3.126 0.186876745 0.7514 0.211583665
10 3.42 0.157558835 0.765 0.210906375
11 3.871 0.112584763 0.7899 0.209666335
12 4.038 0.095931392 0.8059 0.208869522
13 4.2167 0.078111288 0.82 0.208167331
14 4.274 0.072397288 0.8802 0.205169323
15 4.319 0.067909852 1.346 0.181972112
20 4.576 0.042281611 3.43 0.078187251
25 4.656 0.034303949 4.078 0.045916335
30 4.641 0.035799761 4.243 0.037699203
35 4.58 0.041882728 4.2 0.039840637
40 4.506 0.049262066 4.043 0.047659363
45 4.523 0.047566813 4.018 0.048904382
50 4.585 0.041384124 4.0815 0.045742032
